home_geo_id,work_geo_id,commuter_count,net_commute_flow,data_year,source
2.40276E+11,10,1,-623,2022,LEHD LODES8 OD
2.40276E+11,11,1,-623,2022,LEHD LODES8 OD
2.40276E+11,15,0,-623,2022,LEHD LODES8 OD
2.40276E+11,2,62,-623,2022,LEHD LODES8 OD
2.40276E+11,3,23,-623,2022,LEHD LODES8 OD
2.40276E+11,4,12,-623,2022,LEHD LODES8 OD
2.40276E+11,5,6,-623,2022,LEHD LODES8 OD
2.40276E+11,6,16,-623,2022,LEHD LODES8 OD
2.40276E+11,8,4,-623,2022,LEHD LODES8 OD
2.40276E+11,1,210,-285,2022,LEHD LODES8 OD
2.40276E+11,13,4,-285,2022,LEHD LODES8 OD
2.40276E+11,2,27,-285,2022,LEHD LODES8 OD
2.40276E+11,3,32,-285,2022,LEHD LODES8 OD
2.40276E+11,4,0,-285,2022,LEHD LODES8 OD
2.40276E+11,5,0,-285,2022,LEHD LODES8 OD
2.40276E+11,6,12,-285,2022,LEHD LODES8 OD
2.40276E+11,7,0,-285,2022,LEHD LODES8 OD
2.40276E+11,8,0,-285,2022,LEHD LODES8 OD
2.40276E+11,1,626,-868,2022,LEHD LODES8 OD
2.40276E+11,10,6,-868,2022,LEHD LODES8 OD
2.40276E+11,11,2,-868,2022,LEHD LODES8 OD
2.40276E+11,12,6,-868,2022,LEHD LODES8 OD
2.40276E+11,14,0,-868,2022,LEHD LODES8 OD
2.40276E+11,16,0,-868,2022,LEHD LODES8 OD
2.40276E+11,18,0,-868,2022,LEHD LODES8 OD
2.40276E+11,2,74,-868,2022,LEHD LODES8 OD
2.40276E+11,3,38,-868,2022,LEHD LODES8 OD
2.40276E+11,4,52,-868,2022,LEHD LODES8 OD
2.40276E+11,5,16,-868,2022,LEHD LODES8 OD
2.40276E+11,6,24,-868,2022,LEHD LODES8 OD
2.40276E+11,7,10,-868,2022,LEHD LODES8 OD
2.40276E+11,8,10,-868,2022,LEHD LODES8 OD
2.40276E+11,9,4,-868,2022,LEHD LODES8 OD
2.40276E+11,1,290,-328,2022,LEHD LODES8 OD
2.40276E+11,2,22,-328,2022,LEHD LODES8 OD
2.40276E+11,3,0,-328,2022,LEHD LODES8 OD
2.40276E+11,4,16,-328,2022,LEHD LODES8 OD
2.40276E+11,5,0,-328,2022,LEHD LODES8 OD
2.40276E+11,9,0,-328,2022,LEHD LODES8 OD
2.40276E+11,1,369,-443,2022,LEHD LODES8 OD
2.40276E+11,2,34,-443,2022,LEHD LODES8 OD
2.40276E+11,3,10,-443,2022,LEHD LODES8 OD
2.40276E+11,4,12,-443,2022,LEHD LODES8 OD
2.40276E+11,5,8,-443,2022,LEHD LODES8 OD
2.40276E+11,6,2,-443,2022,LEHD LODES8 OD
2.40276E+11,7,8,-443,2022,LEHD LODES8 OD
2.40276E+11,1,314,-426,2022,LEHD LODES8 OD
2.40276E+11,2,84,-426,2022,LEHD LODES8 OD
2.40276E+11,3,18,-426,2022,LEHD LODES8 OD
2.40276E+11,4,8,-426,2022,LEHD LODES8 OD
2.40276E+11,5,2,-426,2022,LEHD LODES8 OD
2.40276E+11,6,0,-426,2022,LEHD LODES8 OD
2.40276E+11,8,0,-426,2022,LEHD LODES8 OD
2.40276E+11,9,0,-426,2022,LEHD LODES8 OD
2.40276E+11,1,305,-317,2022,LEHD LODES8 OD
2.40276E+11,2,12,-317,2022,LEHD LODES8 OD
2.40276E+11,3,0,-317,2022,LEHD LODES8 OD
2.40276E+11,4,0,-317,2022,LEHD LODES8 OD
2.40276E+11,5,0,-317,2022,LEHD LODES8 OD
2.40276E+11,1,212,-250,2022,LEHD LODES8 OD
2.40276E+11,2,24,-250,2022,LEHD LODES8 OD
2.40276E+11,3,14,-250,2022,LEHD LODES8 OD
2.40276E+11,1,506,-721,2022,LEHD LODES8 OD
2.40276E+11,10,1,-721,2022,LEHD LODES8 OD
2.40276E+11,11,0,-721,2022,LEHD LODES8 OD
2.40276E+11,2,124,-721,2022,LEHD LODES8 OD
2.40276E+11,3,18,-721,2022,LEHD LODES8 OD
2.40276E+11,4,16,-721,2022,LEHD LODES8 OD
2.40276E+11,5,4,-721,2022,LEHD LODES8 OD
2.40276E+11,6,9,-721,2022,LEHD LODES8 OD
2.40276E+11,7,12,-721,2022,LEHD LODES8 OD
2.40276E+11,8,26,-721,2022,LEHD LODES8 OD
2.40276E+11,9,5,-721,2022,LEHD LODES8 OD
2.40276E+11,1,212,-282,2022,LEHD LODES8 OD
2.40276E+11,2,34,-282,2022,LEHD LODES8 OD
2.40276E+11,3,14,-282,2022,LEHD LODES8 OD
2.40276E+11,4,1,-282,2022,LEHD LODES8 OD
2.40276E+11,5,1,-282,2022,LEHD LODES8 OD
2.40276E+11,6,0,-282,2022,LEHD LODES8 OD
2.40276E+11,9,20,-282,2022,LEHD LODES8 OD
2.40276E+11,1,546,-696,2022,LEHD LODES8 OD
2.40276E+11,10,2,-696,2022,LEHD LODES8 OD
2.40276E+11,12,2,-696,2022,LEHD LODES8 OD
2.40276E+11,13,20,-696,2022,LEHD LODES8 OD
2.40276E+11,2,70,-696,2022,LEHD LODES8 OD
2.40276E+11,3,28,-696,2022,LEHD LODES8 OD
2.40276E+11,4,16,-696,2022,LEHD LODES8 OD
2.40276E+11,5,8,-696,2022,LEHD LODES8 OD
2.40276E+11,6,1,-696,2022,LEHD LODES8 OD
2.40276E+11,7,1,-696,2022,LEHD LODES8 OD
2.40276E+11,9,2,-696,2022,LEHD LODES8 OD
2.40276E+11,1,318,-378,2022,LEHD LODES8 OD
2.40276E+11,2,38,-378,2022,LEHD LODES8 OD
2.40276E+11,3,10,-378,2022,LEHD LODES8 OD
2.40276E+11,4,8,-378,2022,LEHD LODES8 OD
2.40276E+11,5,4,-378,2022,LEHD LODES8 OD
2.40276E+11,7,0,-378,2022,LEHD LODES8 OD
2.40276E+11,8,0,-378,2022,LEHD LODES8 OD
2.40276E+11,1,188,-246,2022,LEHD LODES8 OD
2.40276E+11,2,48,-246,2022,LEHD LODES8 OD
2.40276E+11,3,6,-246,2022,LEHD LODES8 OD
2.40276E+11,4,0,-246,2022,LEHD LODES8 OD
2.40276E+11,5,0,-246,2022,LEHD LODES8 OD
2.40276E+11,6,0,-246,2022,LEHD LODES8 OD
2.40276E+11,7,4,-246,2022,LEHD LODES8 OD
2.40276E+11,1,169,-173,2022,LEHD LODES8 OD
2.40276E+11,2,4,-173,2022,LEHD LODES8 OD
2.40276E+11,3,0,-173,2022,LEHD LODES8 OD
2.40276E+11,4,0,-173,2022,LEHD LODES8 OD
2.40276E+11,1,294,-336,2022,LEHD LODES8 OD
2.40276E+11,2,30,-336,2022,LEHD LODES8 OD
2.40276E+11,3,2,-336,2022,LEHD LODES8 OD
2.40276E+11,4,4,-336,2022,LEHD LODES8 OD
2.40276E+11,5,0,-336,2022,LEHD LODES8 OD
2.40276E+11,6,6,-336,2022,LEHD LODES8 OD
2.40276E+11,1,420,-530,2022,LEHD LODES8 OD
2.40276E+11,10,0,-530,2022,LEHD LODES8 OD
2.40276E+11,2,60,-530,2022,LEHD LODES8 OD
2.40276E+11,3,34,-530,2022,LEHD LODES8 OD
2.40276E+11,4,4,-530,2022,LEHD LODES8 OD
2.40276E+11,5,0,-530,2022,LEHD LODES8 OD
2.40276E+11,6,4,-530,2022,LEHD LODES8 OD
2.40276E+11,7,0,-530,2022,LEHD LODES8 OD
2.40276E+11,8,0,-530,2022,LEHD LODES8 OD
2.40276E+11,9,8,-530,2022,LEHD LODES8 OD
2.40276E+11,1,367,-436,2022,LEHD LODES8 OD
2.40276E+11,11,4,-436,2022,LEHD LODES8 OD
2.40276E+11,15,4,-436,2022,LEHD LODES8 OD
2.40276E+11,2,45,-436,2022,LEHD LODES8 OD
2.40276E+11,3,8,-436,2022,LEHD LODES8 OD
2.40276E+11,4,2,-436,2022,LEHD LODES8 OD
2.40276E+11,5,2,-436,2022,LEHD LODES8 OD
2.40276E+11,6,2,-436,2022,LEHD LODES8 OD
2.40276E+11,7,0,-436,2022,LEHD LODES8 OD
2.40276E+11,9,2,-436,2022,LEHD LODES8 OD
2.40276E+11,1,264,-350,2022,LEHD LODES8 OD
2.40276E+11,2,51,-350,2022,LEHD LODES8 OD
2.40276E+11,3,18,-350,2022,LEHD LODES8 OD
